title,year,certificate,duration,"genre",rating,"description",stars,votes
"Bikram: Yogi, Guru, Predator",1956,Approved,86,"Crime, Drama, Film-Noir",6.4,"A desperate man goes on a buried treasure hunt for $2 million worth of cocaine.","[Gerd Oswald,Barbara Stanwyck,Sterling Hayden,Raymond Burr,Fay Wray]",2442
Mythomaniac,2020,PG,91,"Drama",6.6,"In this documentary, law enforcement faces scrutiny as Americans demand justice after police violence claims multiple Black lives in Cleveland.","[Alan Yang,Tzi Ma,Christine Ko,Hong-Chi Lee,Queenie Yu-Hsin Fang]",3635
Designing Miami,2019,Not Rated,109,"Action, Crime, Drama",6.3,"Felix is a legendary prankster who gets expelled from his high school and, with the help of his friends, will stop at nothing to hide it from his parents.","[Adrian Teh,Hairul Azreen,Fify Azmi,Ismi Melinda,Hilal Azman]",502
World's Most Wanted,2017,TV-14,80,"Documentary, Crime, Drama",6.1,"Based on the longest-running webtoon Maeum-ui Sori in Korea, Sound of your heart is a story about Cho Seok, an aspiring comic writer, and his strange family.","[Kitty Green,Hannah Cagwin,Aeona Cruz,Liv Bagley,Shylee Sagle]",5471
Asobi Asobase: Workshop of Fun,2017,TV-14,97,"Crime, Drama, Romance",4.8,"A small-time gangster clumsily attempts to court a girl he has a crush on. Can he win her over and leave the underworld behind?","[Emily Hagins,Alex Saxon,Alexis G. Zall,Sasha Pieterse,Jay Walker]",2758
Koi no tsuki,2017,PG-13,100,"Comedy, Horror",4.6,"After an accident that killed both of Tara's parents, Tara now only has a younger brother named Gian as a member of her family. However, the accident traumatized Gian, so Gian chose to end his life.","[Tony T. Datis,Marc Jarousseau,Nathalie Odzierejko,Ludovik,Jérôme Niel]",2712
Huge in France,2019,Not Rated,50,"Drama",6.2,"Two cops with very different methods, solving mysterious murder cases surrounded by black magic.","[Ludwig Simon,Luise Befort,Michelle Barthel,Mohamed Issa]",2738
Time Share,2015-2018,TV-Y7,22,"Animation, Action, Adventure",4.5,"At 26, Zarifa Ghafari, became one of Afghanistan's first female mayors and the youngest to ever hold the position. Filmed over two turbulent years, the film documents her personal battle for survival as her country unravels.","[Ivan Sherry,Tara Strong,Martin Roach,Scott McCord]",638
The Secret Life of My Secretary,2018,TV-MA,83,"Documentary",6.3,"Eep, Grug, Thunk, Ugga, Sandy and Gran are back. Follow them as they meet new friends, outrun new creatures and encounter firsts the world has never seen - such as school, slumber parties, hiccups and elections.","[Theo Love,Bo Butterworth,Bri Bryant,Edward Craig,Andy Culpepper]",3365
Spivak,2021,Not Rated,104,"Documentary, Crime",6.3,"After Santa tells Michael Bolton that he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a sexy telethon to get the world to start making love.","[Michael Milano,Mansfield Frazier,Alonzo Mitchell,Mike DeWine,Timothy McGinty]",923
